TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
CAREU0179;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X0;140;100;85 x 55;1;R$ 21,50
CAREU0180;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X1;140;100;85 x 55;1;R$ 34,50
CAREU0181;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X1;140;100;85 x 55;1;R$ 22,50
CAREU0182;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X4;350;250;85 x 55;1;R$ 73,50
CAREU0183;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X0;350;250;85 x 55;1;R$ 54,50
CAREU0184;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X1;350;250;85 x 55;1;R$ 59,50
CAREU0185;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X0;350;250;85 x 55;1;R$ 32,50
CAREU0186;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X1;350;250;85 x 55;1;R$ 35,50
CAREU0187;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X0;701;500;85 x 55;1;R$ 91,50
CAREU0188;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X0;701;500;85 x 55;1;R$ 48,50
CAREU0189;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X1;701;500;85 x 55;1;R$ 55,50
CAREU0190;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X1;701;500;85 x 55;1;R$ 101,50
CAREU0191;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X4;701;500;85 x 55;1;R$ 130,50
CAREU0192;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X1;1402;1000;85 x 55;1;R$ 93,50
CAREU0193;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X0;1402;1000;85 x 55;1;R$ 168,50
CAREU0194;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X1;1402;1000;85 x 55;1;R$ 188,50
CAREU0195;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;4X4;1402;1000;85 x 55;1;R$ 245,50
CAREU0196;CARTÕES DE VISITA EUROPEU;COUCHE BRILHO - DIGITAL - 300g;1X0;1402;1000;85 x 55;1;R$ 83,50
CAREU0084;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;58;50;85 x 55;1;R$ 18,50
CAREU0085;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X1;58;50;85 x 55;1;R$ 12,50
CAREU0086;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X0;58;50;85 x 55;1;R$ 11,50
CAREU0087;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;58;50;85 x 55;1;R$ 15,50
CAREU0088;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X1;117;100;85 x 55;1;R$ 16,50
CAREU0089;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;117;100;85 x 55;1;R$ 28,50
CAREU0090;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;117;100;85 x 55;1;R$ 22,50
CAREU0091;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X0;117;100;85 x 55;1;R$ 14,50
CAREU0092;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X0;292;250;85 x 55;1;R$ 23,50
CAREU0093;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X1;292;250;85 x 55;1;R$ 26,50
CAREU0094;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X1;696;500;85 x 55;1;R$ 42,50
CAREU0095;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;696;500;85 x 55;1;R$ 97,50
CAREU0096;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X0;696;500;85 x 55;1;R$ 37,50
CAREU0097;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;696;500;85 x 55;1;R$ 67,50
CAREU0098;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;1169;1000;85 x 55;1;R$ 127,99
CAREU0099;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X0;1169;1000;85 x 55;1;R$ 67,99
CAREU0100;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;1169;1000;85 x 55;1;R$ 189,99
CAREU0101;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;1X1;1169;1000;85 x 55;1;R$ 77,99
CAREU0102;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;58;50;85 x 55;1;R$ 19,50
CAREU0103;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;58;50;85 x 55;1;R$ 15,50
CAREU0104;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;117;100;85 x 55;1;R$ 23,50
CAREU0105;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;117;100;85 x 55;1;R$ 30,50
CAREU0106;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;292;250;85 x 55;1;R$ 42,50
CAREU0107;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;292;250;85 x 55;1;R$ 58,50
CAREU0108;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;696;500;85 x 55;1;R$ 103,50
CAREU0109;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;696;500;85 x 55;1;R$ 73,50
CAREU0110;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X4;1169;1000;85 x 55;1;R$ 198,99
CAREU0111;CARTÕES DE VISITA EUROPEU;PAPEL KRAFT - 250g;4X0;1169;1000;85 x 55;1;R$ 139,99
CAREU0112;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X4;90;50;85 x 55;1;R$ 47,50
CAREU0113;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X1;90;50;85 x 55;1;R$ 44,50
CAREU0114;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X0;90;50;85 x 55;1;R$ 44,50
CAREU0115;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X0;139;100;85 x 55;1;R$ 79,50
CAREU0116;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X1;150;100;85 x 55;1;R$ 81,50
CAREU0117;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X4;139;100;85 x 55;1;R$ 86,50
CAREU0118;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X4;292;250;85 x 55;1;R$ 204,50
CAREU0119;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X0;292;250;85 x 55;1;R$ 187,50
CAREU0120;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X1;350;250;85 x 55;1;R$ 191,50
CAREU0121;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X0;701;500;85 x 55;1;R$ 366,50
CAREU0122;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X4;701;500;85 x 55;1;R$ 401,50
CAREU0123;CARTÕES DE VISITA EUROPEU;GOLD MASTER - 300g;4X1;701;500;85 x 55;1;R$ 375,50
CAREU0124;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X1;58;50;85 x 55;1;R$ 30,50
CAREU0125;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X4;58;50;85 x 55;1;R$ 32,50
CAREU0126;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X0;58;50;85 x 55;1;R$ 29,50
CAREU0127;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X1;116;100;85 x 55;1;R$ 56,50
CAREU0128;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X4;116;100;85 x 55;1;R$ 60,50
CAREU0129;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X0;116;100;85 x 55;1;R$ 54,50
CAREU0130;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X4;290;250;85 x 55;1;R$ 140,50
CAREU0131;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X1;290;250;85 x 55;1;R$ 130,50
CAREU0132;CARTÕES DE VISITA EUROPEU;METALIZADO - 250g;4X0;290;250;85 x 55;1;R$ 126,50
CAREU0133;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X0;70;50;85 x 55;1;R$ 42,50
CAREU0134;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X4;70;50;85 x 55;1;R$ 46,50
CAREU0135;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X1;70;50;85 x 55;1;R$ 43,50
CAREU0136;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X1;140;100;85 x 55;1;R$ 78,50
CAREU0137;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X0;140;100;85 x 55;1;R$ 77,50
CAREU0138;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X4;140;100;85 x 55;1;R$ 84,50
CAREU0139;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X4;350;250;85 x 55;1;R$ 197,50
CAREU0140;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X0;350;250;85 x 55;1;R$ 180,50
CAREU0141;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X1;350;250;85 x 55;1;R$ 184,50
CAREU0142;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X1;701;500;85 x 55;1;R$ 360,50
CAREU0143;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X4;701;500;85 x 55;1;R$ 390,50
CAREU0144;CARTÕES DE VISITA EUROPEU;PERO PLUS - 300g;4X0;701;500;85 x 55;1;R$ 352,50
CAREU0145;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X1;90;50;85 x 55;1;R$ 43,50
CAREU0146;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X4;90;50;85 x 55;1;R$ 46,50
CAREU0147;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X0;90;50;85 x 55;1;R$ 42,50
CAREU0148;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X0;140;100;85 x 55;1;R$ 77,50
CAREU0149;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X4;140;100;85 x 55;1;R$ 84,50
CAREU0150;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X1;140;100;85 x 55;1;R$ 78,50
CAREU0151;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X1;350;250;85 x 55;1;R$ 184,50
CAREU0152;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X0;350;250;85 x 55;1;R$ 180,50
CAREU0153;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X4;350;250;85 x 55;1;R$ 197,50
CAREU0154;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X4;701;500;85 x 55;1;R$ 387,50
CAREU0155;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X0;701;500;85 x 55;1;R$ 352,50
CAREU0156;CARTÕES DE VISITA EUROPEU;SILVER LUX - 300g;4X1;701;500;85 x 55;1;R$ 360,50
CAREU0165;CARTÕES DE VISITA EUROPEU;RECICLATO - CAL. SIMPLES - 240g;4X4;561;500;85 x 55;1;R$ 101,50
CAREU0157;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X4;112;100;85 x 55;1;R$ 29,50
CAREU0158;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X0;112;100;85 x 55;1;R$ 22,50
CAREU0159;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X1;112;100;85 x 55;1;R$ 24,50
CAREU0160;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X1;280;250;85 x 55;1;R$ 45,50
CAREU0161;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X4;280;250;85 x 55;1;R$ 57,50
CAREU0162;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X0;280;250;85 x 55;1;R$ 41,50
CAREU0163;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X1;561;500;85 x 55;1;R$ 79,50
CAREU0164;CARTÕES DE VISITA EUROPEU;RECICLATO DIGITAL - 240g;4X0;561;500;85 x 55;1;R$ 71,50
CAREU0166;CARTÕES DE VISITA EUROPEU;SUPREMO DIGITAL - 255g;4X0;119;100;85 x 55;1;R$ 17,50
CAREU0167;CARTÕES DE VISITA EUROPEU;SUPREMO DIGITAL - 255g;4X1;119;100;85 x 55;1;R$ 18,50
CAREU0170;CARTÕES DE VISITA EUROPEU;SUPREMO DIGITAL - 255g;4X1;298;250;85 x 55;1;R$ 29,50
CAREU0171;CARTÕES DE VISITA EUROPEU;SUPREMO DIGITAL - 255g;4X0;298;250;85 x 55;1;R$ 26,50
CARTÕES DE VISITA MAX;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
CV4X01000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;1470;1000;98 x 60;1;R$ 64,50
CV4X02000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;2940;2000;98 x 60;1;R$ 118,50
CV4X03000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;4410;3000;98 x 60;1;R$ 169,50
CV4X0500;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;735;500;98 x 60;2;R$ 41,99
CV4X05000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;7350;5000;98 x 60;1;R$ 271,50
CV4X050777;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;14700;10000;98 x 60;1;R$ 565,99
CV4X05778;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X0;29400;20000;98 x 60;1;R$ 1.096,50
CV4X11000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;1470;1000;98 x 60;1;R$ 71,50
CV4X12000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;2940;2000;98 x 60;1;R$ 132,50
CV4X13000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;4410;3000;98 x 60;1;R$ 190,50
CV4X1500;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;735;500;98 x 60;2;R$ 47,99
CV4X15000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;7350;5000;98 x 60;1;R$ 304,50
CV4X15779;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;14700;10000;98 x 60;1;R$ 570,99
CV4X15780;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;29400;20000;98 x 60;1;R$ 1.107,50
CV4X41000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;1470;1000;98 x 60;1;R$ 74,50
CV4X42000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;2940;2000;98 x 60;1;R$ 138,50
CV4X43000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;4410;3000;98 x 60;1;R$ 197,50
CV4X4500;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;735;500;98 x 60;2;R$ 52,99
CV4X45000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;7350;5000;98 x 60;1;R$ 315,50
CV4X450781;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;14700;10000;98 x 60;1;R$ 575,99
CV4X450782;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X4;29400;20000;98 x 60;1;R$ 1.117,50
CV4X01000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;1764;1000;98 x 60;2;R$ 72,50
CV4X02000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;3528;2000;98 x 60;2;R$ 135,99
CV4X03000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;5292;3000;98 x 60;2;R$ 194,99
CV4X05000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;8820;5000;98 x 60;2;R$ 311,50
CV4X0500C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;882;500;98 x 60;2;R$ 63,99
CV4X050783;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;17640;10000;98 x 60;2;R$ 523,99
CV4X050784;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X0;35280;20000;98 x 60;2;R$ 1.015,99
CV4X11000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;1764;1000;98 x 60;2;R$ 76,50
CV4X12000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;3528;2000;98 x 60;2;R$ 142,99
CV4X13000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;5292;3000;98 x 60;2;R$ 204,99
CV4X15000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;8820;5000;98 x 60;2;R$ 329,50
CV4X1500C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;882;500;98 x 60;2;R$ 66,99
CV4X150784;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;17640;10000;98 x 60;2;R$ 528,99
CV4X150785;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X1;35280;20000;98 x 60;2;R$ 1.025,99
CV4X41000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;1764;1000;98 x 60;2;R$ 84,50
CV4X42000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;3528;2000;98 x 60;2;R$ 155,99
CV4X43000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;5292;3000;98 x 60;2;R$ 223,99
CV4X45000C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;8820;5000;98 x 60;2;R$ 359,50
CV4X4500C;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;882;500;98 x 60;2;R$ 73,99
CV4X450786;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;17640;10000;98 x 60;2;R$ 532,99
CV4X450787;CARTÕES DE VISITA MAX;COUCHE BRILHO - 300g;4X4;35280;20000;98 x 60;2;R$ 1.035,99
CS412000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;2999;2000;98 x 60;2;R$ 148,50
CS413000;CARTÕES DE VISITA MAX;COUCHE BRILHO - 250g;4X1;4498;3000;98 x 60;2;R$ 212,50
CS401000;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;1499;1000;98 x 60;2;R$ 76,50
CS402000;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;2999;2000;98 x 60;2;R$ 142,50
CS403000;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;4498;3000;98 x 60;2;R$ 204,50
CS40500;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;750;500;98 x 60;2;R$ 43,99
CS405000;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;7497;5000;98 x 60;2;R$ 326,50
CS4050787;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;14990;10000;98 x 60;2;R$ 645,99
CS4050788;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X0;29980;20000;98 x 60;2;R$ 1.248,99
CS411000;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X1;1499;1000;98 x 60;2;R$ 80,50
CS41500;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;750;500;98 x 60;2;R$ 45,99
CS415000;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X1;7497;5000;98 x 60;2;R$ 339,50
CS4150788;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X1;14990;10000;98 x 60;2;R$ 650,99
CS4150789;CARTÕES DE VISITA MAX;SUPREMO - 255g;4X1;29980;20000;98 x 60;2;R$ 1.259,99
CS401000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;1793;1000;98 x 60;4;R$ 79,50
CS402000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;3587;2000;98 x 60;4;R$ 148,99
CS403000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;5379;3000;98 x 60;4;R$ 213,99
CS405000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;8967;5000;98 x 60;4;R$ 344,99
CS40500C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;897;500;98 x 60;4;R$ 42,99
CS4050789;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;14990;10000;98 x 60;4;R$ 670,99
CS4050790;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X0;35860;20000;98 x 60;4;R$ 1.326,50
CS411000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;1793;1000;98 x 60;4;R$ 82,50
CS412000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;3587;2000;98 x 60;4;R$ 153,99
CS413000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;5379;3000;98 x 60;4;R$ 221,99
CS415000C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;8967;5000;98 x 60;4;R$ 356,99
CS41500C;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;897;500;98 x 60;4;R$ 45,99
CS4150791;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;14990;10000;98 x 60;4;R$ 696,99
CS4150792;CARTÕES DE VISITA MAX;SUPREMO - 305g;4X1;35860;20000;98 x 60;4;R$ 1.378,50
CARTÕES DE VISITA;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
AP240A;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X0;56;50;91 x 51;1;R$ 16,50
AP240A1;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X1;56;50;91 x 51;1;R$ 16,50
AP240A2;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X4;56;50;91 x 51;1;R$ 20,50
AP240B;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X0;111;100;91 x 51;1;R$ 24,50
AP240B1;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X1;111;100;91 x 51;1;R$ 26,50
AP240B2;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X4;111;100;91 x 51;1;R$ 32,50
AP240C;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X4;278;250;91 x 51;1;R$ 60,50
AP240C1;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X0;278;250;91 x 51;1;R$ 41,50
AP240C2;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X1;278;250;91 x 51;1;R$ 48,50
AP240D;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X1;557;500;91 x 51;1;R$ 81,50
AP240D1;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X0;557;500;91 x 51;1;R$ 74,50
AP240D2;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X4;557;500;91 x 51;1;R$ 104,50
AP240E;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X4;1114;1000;91 x 51;1;R$ 197,99
AP240E1;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X1;1114;1000;91 x 51;1;R$ 152,99
AP240E2;CARTÕES DE VISITA;APERGAMINHADO - 240g;4X0;1114;1000;91 x 51;1;R$ 136,99
CS1X0100;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X0;111;100;91 x 51;1;R$ 16,50
CS1X01000;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X0;1114;1000;91 x 51;1;R$ 79,99
CS1X0250;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X0;278;250;91 x 51;1;R$ 26,50
CS1X050;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X0;56;50;91 x 51;1;R$ 12,50
CS1X0500;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X0;557;500;91 x 51;1;R$ 42,50
CS1X1100;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X1;111;100;91 x 51;1;R$ 16,50
CS1X11000;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X1;1114;1000;91 x 51;1;R$ 82,99
CS1X1250;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X1;278;250;91 x 51;1;R$ 27,50
CS1X150;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X1;56;50;91 x 51;1;R$ 12,50
CS1X1500;CARTÕES DE VISITA;APERGAMINHADO - 240g;1X1;557;500;91 x 51;1;R$ 48,50
CFHF100;CARTÕES DE VISITA;COUCHE FOSCO E HOTSTAMPING - 250g;4X4;116;100;91 x 51;2;R$ 58,50
CFHF250;CARTÕES DE VISITA;COUCHE FOSCO E HOTSTAMPING - 250g;4X4;290;250;91 x 51;2;R$ 112,50
CFHF50;CARTÕES DE VISITA;COUCHE FOSCO E HOTSTAMPING - 250g;4X4;58;50;91 x 51;2;R$ 36,50
CS4X01000;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR - DIGITAL - 250g;4X0;1160;1000;91 x 51;1;R$ 177,99
CS4X0100C;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR - DIGITAL - 250g;4X0;116;100;91 x 51;1;R$ 33,50
CS4X0250C;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR - DIGITAL - 250g;4X0;290;250;91 x 51;1;R$ 57,50
CS4X0500;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR - DIGITAL - 250g;4X0;580;500;91 x 51;1;R$ 96,50
CS4X050C;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR - DIGITAL - 250g;4X0;58;50;91 x 51;1;R$ 23,50
CS4X41000C;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR E VR - DIGITAL - 250g;4X4;1160;1000;91 x 51;1;R$ 150,99
CS4X4100CO;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR E VR - DIGITAL - 250g;4X4;116;100;91 x 51;1;R$ 41,50
CS4X4250CC;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR E VR - DIGITAL - 250g;4X4;290;250;91 x 51;1;R$ 76,50
CS4X4500C;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR E VR - DIGITAL - 250g;4X4;580;500;91 x 51;1;R$ 83,50
CS4X450CO;CARTÕES DE VISITA;COUCHE BRILHO LAM. BRILHO FR E VR - DIGITAL - 250g;4X4;58;50;91 x 51;1;R$ 29,50
POP006;CARTÕES DE VISITA;COUCHE LAMINACAO FOSCA FRENTE - 250g;4X0;58;50;91 x 51;1;R$ 23,50
POP006C;CARTÕES DE VISITA;COUCHE LAMINACAO FOSCA FRENTE - 250g;4X0;1160;1000;91 x 51;1;R$ 177,99
